commit,test_mean_macro_f1,test_st1_macro_f1,test_st2_macro_f1,test_st3_macro_f1,test_st3_family_macro_f1,dev_mean_macro_f1,dev_st1_macro_f1,dev_st2_macro_f1,dev_st3_macro_f1,dev_st3_family_macro_f1,model,status,description
d3dedec,0.702,0.623,0.781,n/a,n/a,0.690,0.762,0.617,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st12-5epoch-fullsize: full-size (dev=504/test-holdout=500) confirmation of row 25's n=100 result -- same recipe (--st12-only, --context full, --pos-weight, epochs=5, --final-eval-only), run concurrently with a parallel r=16 capacity ablation (see next row) as the first 2-experiments-at-once run on this GPU. st3/mean_macro_f1 n/a (st12-only placeholder, as in rows 20-25). Result: test mean(st1,st2)=0.702 (st1=0.623/st2=0.781), dev mean=0.690 (st1=0.762/st2=0.617) -- clearly above the 2-epoch baseline (row 20: test mean=0.667 st1=0.624/st2=0.711, dev mean=0.578 st1=0.618/st2=0.538): dev +0.112, test +0.035. st1 is roughly flat test-side (0.623 vs 0.624, noise) but st2 is up meaningfully (0.781 vs 0.711, +0.070) and dev st1 jumped substantially (0.762 vs 0.618, +0.144). Confirms row 25's n=100 estimate was directionally right (more epochs helps st1/st2) but quantitatively noisy in BOTH directions: n=100 UNDERestimated dev (0.587 vs this row's 0.690) and OVERestimated test (0.754 vs this row's 0.702) -- illustrates exactly why n=100 shouldn't be treated as precise, per the project-final-eval-only-flag memory's caveat. Runtime ~110min wall-clock (04:20-06:10), but the last ~35min overlapped with the parallel r=16 run below sharing the GPU, so this isn't a clean solo-run timing comparison to row 20's ~30-40min estimate for 2 epochs. Adopting epochs=5 as the new standing st12-only recipe given this confirms at full eval size; next: consider whether epochs>5 keeps helping or plateaus/overfits."
d3dedec,0.529,0.463,0.595,n/a,n/a,0.576,0.621,0.531,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-5epoch-noproductpage: context ablation at the new epochs=5 standing recipe (row 26) -- --context no_product_page (drops the linked product page, keeps video title/description/official_disclosure) instead of full, otherwise identical (--st12-only, --pos-weight, --eval-every 5, dev=504/test-holdout=500). Run concurrently with the r=16 capacity ablation (next row) as the second 2-parallel-jobs run -- see project-two-parallel-gpu-jobs memory for an important incident from this run: the r=16 job crashed with a genuine CUDA OOM when both jobs' epoch-5 final eval passes landed at the same wall-clock moment (both used epochs=5 + --eval-every 5, i.e. identical eval schedules) -- eval-phase VRAM peaks (~14-15GB solo, per generate() + a second reloaded test_model instance) are much higher than steady-state training (~10GB), so 2 jobs' EVAL peaks can exceed 23GB even though their TRAINING peaks fit comfortably. This job survived (checkpoints saved before the peer crashed); the other did not. Result: test mean(st1,st2)=0.529 (st1=0.463/st2=0.595), dev mean=0.576 (st1=0.621/st2=0.531) -- clearly worse than the matched full-context row (row 26: test mean=0.702, dev mean=0.690) on both dev and test, by a wide margin (test -0.173, dev -0.114). Extends the earlier transcript-only finding (also clearly worse, see feedback-st12-focus memory) to this middle context rung: st2 in particular still needs the actual product page, not just video metadata, even at 5 epochs. Discarding no_product_page for st1/st2; full context remains necessary."
d3dedec,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-5epoch-r16 (CRASHED, no results): LoRA capacity ablation at the epochs=5 standing recipe (row 26) -- lora_r 8->16, lora_alpha 16->32 (same 2:1 ratio), otherwise identical (--context full, --st12-only, --pos-weight, --eval-every 5, dev=504/test-holdout=500). Trained all 5 epochs successfully (loss 0.655->0.020, looked healthy) but crashed with torch.OutOfMemoryError during the epoch-5 dev eval's generate() call, at the exact moment the concurrently-running no_product_page job (row above) also hit its own epoch-5 eval -- both jobs used epochs=5 + --eval-every 5, an identical eval schedule, so their eval-phase VRAM peaks (~14-15GB each, far above the ~10GB training-phase footprint) collided and exceeded the 23GB GPU. No checkpoint was ever saved (crash occurred inside the eval block, before the post-loop save/test-holdout code) -- all 5 epochs of training are unrecoverable, this row has zero usable data. See project-two-parallel-gpu-jobs memory for the incident writeup and revised parallel-run guidance (stagger eval schedules or reduce --eval-batch-size for concurrent jobs going forward). Needs a re-run, either solo or staggered against its partner, before the r=16 capacity question can be answered."
d3dedec,0.758,0.734,0.781,n/a,n/a,0.702,0.805,0.598,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st12-5epoch-r16-retry: successful re-run of the crashed r=16 capacity ablation (row 28), this time solo (no concurrent partner) at --eval-batch-size 8 (down from 16) after the OOM incident -- see project-two-parallel-gpu-jobs memory. Confirmed via nvidia-smi that lora_r=16 stabilizes at ~16.5GB solo training VRAM (much higher than lora_r=8's ~10GB), so this was deliberately not paired with a second job this time. Same recipe as row 26 otherwise (--context full, --st12-only, --pos-weight, epochs=5, --eval-every 5, dev=504/test-holdout=500), only lora_r 8->16 / lora_alpha 16->32 changed. Result: test mean(st1,st2)=0.758 (st1=0.734/st2=0.781), dev mean=0.702 (st1=0.805/st2=0.598) -- clearly above row 26's r=8 result (test mean=0.702, dev mean=0.690): test +0.055, dev +0.012. Driven almost entirely by st1 (test 0.623->0.734, +0.111; dev 0.762->0.805, +0.043) -- st2 is flat test-side (0.781 vs 0.781 exactly) and down slightly on dev (0.617->0.598, -0.019). This is the best st1/st2 test result recorded to date. Single run, no replicate yet -- the st1 gain is large enough to look like a real capacity effect rather than noise (consistent direction and magnitude across both dev and test), but per this project's established noise floor (~0.07-0.15 single-run swings seen repeatedly in the st3-era and replicated in the st12-era pos-weight check), a confirmatory re-run on a fresh split would be needed before fully trusting the magnitude. Promising direction: consider lora_r=16 as the new candidate standing recipe pending replication, and/or explore whether the gain is really about r or about alpha (both changed together here, same 2:1 ratio as before)."
d3dedec,0.746,0.711,0.781,n/a,n/a,0.685,0.758,0.612,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st12-5epoch-alpha32: isolates whether row 29's r=16 gain (lora_r 8->16, lora_alpha 16->32 together, same 2:1 ratio) was really about rank or about alpha -- this run changes ONLY lora_alpha (16->32), keeping lora_r=8 (so alpha/r ratio moves from 2:1 to 4:1, unlike row 29 which kept the ratio fixed). Same recipe otherwise (--context full, --st12-only, --pos-weight, epochs=5, --eval-every 5, dev=504/test-holdout=500), run paired with the epochs=8 sweep (both --eval-batch-size 8, different epoch counts so eval passes don't collide -- see project-two-parallel-gpu-jobs memory for why that matters after the row 28 OOM). Result is genuinely mixed, not a clean answer: dev mean(st1,st2)=0.685 (st1=0.758/st2=0.612) is essentially FLAT vs the r=8/alpha=16 baseline (row 26: dev=0.690, -0.005) -- no sign of r=16's dev gain (0.702, +0.012). But test mean=0.746 (st1=0.711/st2=0.781) is well ABOVE baseline (row 26: test=0.702, +0.044) and close to r=16's test result (row 29: 0.758, only -0.012 short) -- st2 identical to both other rows at 0.781 exactly (test-side). So dev says alpha-alone doesn't replicate r=16's gain, test says alpha-alone captures MOST of it. These two signals point opposite directions on whether alpha or rank is the active ingredient -- most likely explanation is the established ~0.07-0.15 single-run noise floor on this eval surface (see feedback-st12-focus memory's pos-weight replicate finding) rather than a real, resolvable r-vs-alpha effect from 3 single runs (baseline/r16/alpha32) each on a different random split. Does NOT cleanly resolve the r-vs-alpha question. A true isolation would need lora_r=16 with lora_alpha LEFT AT 16 (untested combination) plus replicates of all three cells before trusting any of this -- not done here given time cost. Directionally, alpha32 alone still beats baseline on test by a comparable margin to r16, so alpha may matter more than assumed; not confirmed."
a865b2b,0.793,0.773,0.813,n/a,n/a,0.707,0.787,0.626,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st12-8epoch: extends the epochs sweep (row 26 was epochs=5) to epochs=8, at the standing recipe otherwise (--context full, --st12-only, --pos-weight, lora_r=8/alpha=16, --eval-every 8 so only the final epoch is scored, dev=504/test-holdout=500). Run paired with the alpha=32 ablation (row 30) then the lr=4e-4 ablation, both r=8-based so safe to pair per project-two-parallel-gpu-jobs memory (unlike lora_r=16, which needs to run solo). Result: test mean(st1,st2)=0.793 (st1=0.773/st2=0.813), dev mean=0.707 (st1=0.787/st2=0.626) -- BEST result recorded to date on this pipeline, beating even the r=16 capacity ablation (row 29: test mean=0.758). Both st1 and st2 up substantially vs the epochs=5 baseline (row 26): test st1 +0.150 (0.623->0.773), test st2 +0.032 (0.781->0.813); dev st1 +0.025, dev st2 +0.009. Unlike the r=16/alpha=32 results (large st1 gain, flat st2), epochs=8 improves BOTH subtasks, and by a larger margin on st1 than either capacity lever did. Strongly suggests more epochs is the single most effective lever explored so far for this target -- worth testing whether epochs>8 keeps helping or plateaus/overfits (train loss was already down to 0.008 by epoch 8, so overfitting risk on TRAIN is plausible even though test held up fine here -- watch for this at higher epoch counts). Also worth testing epochs=8 combined with lora_r=16, though that pairing would need to run solo given lora_r=16's ~16.5GB VRAM footprint."
a865b2b,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-5epoch-lr4e4 (KILLED, no results): lr sweep at the epochs=5 standing recipe -- lr 2e-4->4e-4, otherwise identical (--context full, --st12-only, --pos-weight, --eval-every 5, dev=504/test-holdout=500). Trained cleanly through epoch 4 (loss 0.041, on track and healthy, comparable trajectory to the standard-lr epochs=5 run) but was killed by user request at epoch 5 (mid-training, before its scheduled final eval) to free the GPU for a Qwen3-4B smoke test. No checkpoint or eval was ever produced -- --eval-every 5 means eval only happens at epoch 5, so this run has zero usable data. Needs a re-run if the lr=4e-4 question is still open."
a865b2b,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-12epoch (KILLED, no results): epochs sweep extending row 31's epochs=8 finding further -- epochs=12, otherwise identical (--context full, --st12-only, --pos-weight, --eval-every 12, dev=504/test-holdout=500, lr=2e-4/lora_r=8 standard). Trained cleanly through epoch 2 (loss 1.044 -> continuing normally) but was killed by user request partway through epoch 2 to free the GPU for a Qwen3-4B smoke test. --eval-every 12 means eval only happens at epoch 12, so this run has zero usable data -- purely abandoned compute (~1hr). The 'does epochs>8 keep helping or plateau/overfit' question (flagged as open in row 31 / feedback-st12-focus memory) remains unanswered; needs a re-run."
b6ec7b4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Qwen/Qwen3-4B,discard,"qwen3-4b-2epoch (KILLED, no results): first real full-scale Qwen3-4B run (train=1853/dev=504/test-holdout=500, standing st12-only recipe: --context full, --pos-weight, epochs=2, --eval-every 2, lora_r=8/alpha=16, q_proj/v_proj, bf16 no quantization), launched after a successful smoke test (3 epochs on --sample-size 30, confirmed no-OOM end to end including test-holdout eval, which required a real bugfix -- see project-disk-and-4b-model-loading memory: the training model wasn't freed before reloading a second model for test-holdout, harmless at 0.6B scale but a genuine OOM at 4B; fixed with del model + empty_cache before the reload). Trained both epochs cleanly and fast enough to be practical (~60min/epoch, loss 0.715->0.078, a healthy trajectory comparable to the 0.6B track) but was killed by user request right as the epoch-2 dev eval was starting -- before any checkpoint or metric was produced. Zero usable data, though the infrastructure (model-path pointed at the HF cache snapshot, bf16 fits comfortably at full context, the test-holdout memory fix) is now proven and ready to reuse if the Qwen3-4B track is picked back up. User pivoted back to continuing the Qwen3-0.6B autoresearch loop instead."
b6ec7b4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-12epoch (CRASHED, no results, 2nd attempt): retry of the epochs=12 sweep after the first attempt was killed by user request before completion. This attempt crashed with a genuine torch.OutOfMemoryError ~18 steps into epoch 1, launched simultaneously with a fresh lr=4e-4 retry (row above did not exist yet at crash time; both jobs launched back-to-back within seconds). Error message shows the OTHER process (lr4e4) already at 14.89GB while this one had only 6.24GB -- i.e. the crash happened during the joint WARMUP RAMP of two freshly-launched jobs, not during steady-state training or a scheduled eval (unlike every prior incident in this file, which involved eval-phase or later-epoch memory growth). New lesson for project-two-parallel-gpu-jobs memory: launching 2 fresh jobs at the exact same moment is itself risky, independent of their later eval schedules -- both models' initial VRAM ramp-up (weight loading, optimizer state init, first few forward/backward passes before the allocator settles) can spike unpredictably and overlap. lr4e4 (launched microseconds earlier) survived; this one didn't. No checkpoint or data produced. Needs a re-run, ideally staggered by a few minutes from any concurrent launch rather than started in the same breath."
b6ec7b4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-12epoch (CRASHED, no results, 3rd attempt): retry #2, launched staggered ~1min after lr4e4 had already cleared its own warmup and reached steady state (85 steps in, ~2it/s) -- the staggering fix from the previous crash (row 35) did NOT prevent this one. Crashed with torch.OutOfMemoryError at step ~13 of its own epoch 1, while lr4e4 (already steady) was using 14.89GB alone -- notably higher than the ~9.8-10GB 'standard r=8' baseline established earlier in this file from different runs. This is the 3rd consecutive failure to get this specific epochs=12 config running paired with anything (1 user-requested kill, 2 real OOM crashes). Revises the project-two-parallel-gpu-jobs memory's core premise: standard r=8 configs do NOT reliably use a fixed ~10GB -- observed range this session is roughly 10-15GB depending on run, not a stable number safe to budget against for pairing. Giving up on pairing epochs=12 for now; queued to run solo once lr4e4 finishes."
b6ec7b4,0.721,0.706,0.736,n/a,n/a,0.647,0.703,0.592,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st12-5epoch-lr4e4: lr sweep at the epochs=5 standing recipe -- lr 2e-4->4e-4, otherwise identical (--context full, --st12-only, --pos-weight, --eval-every 5, dev=504/test-holdout=500). Run solo after 3 consecutive crashes trying to pair it with an epochs=12 job (see project-two-parallel-gpu-jobs memory) -- this is the successful completion of the run first launched pre-Qwen3-4B-detour and killed by user request, then relaunched twice more. Result: test mean(st1,st2)=0.721 (st1=0.706/st2=0.736), dev mean=0.647 (st1=0.703/st2=0.592) -- mixed vs the lr=2e-4 baseline (row 26: test mean=0.702/dev mean=0.690): test slightly UP (+0.019, st1 +0.083/st2 -0.045), dev DOWN (-0.043, st1 -0.059/st2 -0.025). Same dev/test-disagreement pattern as the alpha32 ablation (row 30) -- read as noise floor, not a real lr effect either way. Keeping lr=2e-4 as the standing default (no clear case for changing it); this data point doesn't move the needle enough to justify the extra tuning surface."
b6ec7b4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-12epoch (STOPPED by strategic redirect, no results, 4th attempt): running solo, healthy (10:47 elapsed, no OOM this time) when the user redirected: stop epoch-sweeping entirely -- the eventual final production run will use 200 epochs, which subsumes whatever the 'best' epoch count within a small sweep would have found, making further epochs=N sweep experiments (5 vs 8 vs 12 vs ...) moot. Killed intentionally, not a crash. Epoch-count question closed for this autoresearch track; epochs=8 (row 31, test mean=0.793) remains the best CONFIRMED result on record, but it's no longer being treated as a recipe decision -- future experiments should focus on levers that matter independent of final epoch count: accuracy/performance (context, capacity, data-weighting, prompt design) and training/inference speed (throughput, batch size, attention implementation, etc.), per explicit user redirect."
b6ec7b4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-5epoch-batch2 (KILLED early, speed experiment): first attempt at a speed lever per user redirect away from epoch-sweeping toward performance/speed boosts. --batch-size 1->2, --grad-accum-steps 4->2 (same effective batch=4), otherwise the standing recipe (--context full, --st12-only, --pos-weight, epochs=5). Hypothesis was fewer/larger matmuls would speed up training; result is the opposite. Observed ~2.4-3.3s/it at batch=2 (927 steps/epoch) vs ~1.2-1.5s/it at batch=1 (1853 steps/epoch, see row 37's clean ~17min/epoch solo baseline) -- extrapolates to ~42-50min/epoch at batch=2, roughly 2.5-3x SLOWER than batch=1, not faster. Root cause: at batch=1 there is zero padding (each sequence processed alone); at batch=2, each pair pads to the longer sequence's length, and full-context lengths are highly variable (observed range ~1600-4036 tokens across runs) -- padding waste from mismatched pairs more than cancels any batching efficiency gain. Also used more memory (~17.8GB solo vs batch=1's ~10-15GB) with repeated OOM warnings. Killed after ~30s once the per-step slowdown was clear (no need to run all 5 epochs to confirm a negative result already this unambiguous). CONCLUSION: batch_size=1 remains correct for this pipeline given its highly variable full-context sequence lengths; naive batch-size increases are a net loss without length-bucketed sampling (not implemented) to group similar-length examples together first."
b6ec7b4,0.662,0.561,0.763,n/a,n/a,0.698,0.814,0.582,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-5epoch-maxlen3072: speed lever per user redirect toward performance/speed boosts -- --max-length 4096->3072, batch=1 unchanged, otherwise standing recipe (--context full, --st12-only, --pos-weight, epochs=5, dev=504/test-holdout=500). CONFOUNDED result, flagging clearly: this run's fresh random split (test-holdout not seed-pinned, per the rotating-holdout rule) happened to have a max train sequence length of exactly 3012 tokens in ALL 5 epochs -- i.e. --max-length 3072 never actually truncated anything this run, unlike the max-length=4096 baseline runs which saw sequences up to ~4036 tokens. This is NOT a valid test of the speed-vs-accuracy truncation tradeoff -- it's just another single-run noise sample on a shorter-tailed split. Timing: ~15.6min/epoch vs row 37's clean solo ~17min/epoch baseline (~8% faster), but since no truncation occurred, this speed difference may itself be partly attributable to the shorter-tailed split rather than the max-length setting mechanically -- can't cleanly attribute. Accuracy: test mean=0.662 (st1=0.561/st2=0.763) vs row 26's baseline test mean=0.702 (st1=0.623/st2=0.781) -- below baseline; dev mean=0.698 (st1=0.814/st2=0.582) vs row 26's dev=0.690 -- roughly flat/slightly above. Same dev/test-disagreement noise pattern as rows 30/37. INCONCLUSIVE on whether --max-length 3072 helps or hurts -- would need a split where truncation actually triggers (e.g. pin --split-seed to one of the earlier runs' seeds that had long-tail examples) for a real test. Discarding as non-diagnostic, not as a negative result."
b6ec7b4,0.6605,0.622,0.699,n/a,n/a,0.6615,0.682,0.641,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st12-5epoch-nogradckpt: speed lever per user redirect -- added --no-gradient-checkpointing flag (new, to build_peft_model_causal via lora_model.py) and tested it against the standing recipe (--context full, --st12-only, --pos-weight, epochs=5, lora_r=8/alpha=16, dev=504/test-holdout=500). CLEAN, CONFIRMED speed win: ~12min48s/epoch vs the checkpointing-enabled clean solo baseline's ~17min/epoch (row 37) -- a consistent ~25% speedup across all 5 epochs (12:50, 12:48, 12:48, 12:48, unknown-but-similar for ep5), no warmup-only fluke. Cost: solo VRAM ~17.3GB during training (vs checkpointing's ~10-15GB range) -- fits fine solo but makes this unsuitable for 2-parallel-job pairing (17.3*2 > 23GB), see project-two-parallel-gpu-jobs memory. Accuracy: test mean=0.6605 (st1=0.622/st2=0.699) vs row 26's baseline test mean=0.702 -- st1 nearly IDENTICAL (0.622 vs 0.623, essentially exact match), st2 down (0.699 vs 0.781). Dev mean=0.6615 (st1=0.682/st2=0.641) vs row 26's dev=0.690 -- also within noise range. Since gradient checkpointing is mathematically a no-op (recomputes the identical gradients via a different memory/compute tradeoff, doesn't change what's computed), any accuracy delta here is attributable to normal random-split noise, not the flag itself -- NOT a real accuracy cost. ADOPTING --no-gradient-checkpointing as the default for solo runs going forward (real ~25% time savings, no accuracy tradeoff); keep checkpointing ON when pairing 2 jobs (memory-constrained) or if a future config's VRAM footprint doesn't leave room for the higher usage."
be347f2,0.794,0.766,0.822,n/a,n/a,0.733,0.814,0.652,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st12-100epoch-standing (KILLED at epoch 72 by user request, valid results): the long-run epoch-count question this whole queue was designed to answer -- standing recipe (r=8/alpha=16/lr=2e-4, --context full, --st12-only, --pos-weight, --no-gradient-checkpointing, --eval-every 10, split_seed=1556411495) run to epoch 100 instead of the old 5/8/12-epoch sweeps. Dev mean(st1,st2) trajectory: ep10=0.695, ep20=0.650, ep30=0.697, ep40=0.668, ep50=0.702, ep60=0.716, ep70=0.733 (best) -- NOT the overfit-after-peak pattern initially suspected from the ep10/ep20 dip; instead a noisy but sustained climb through 70% of the run, train loss pinned near 0 (fully memorized) since ~ep15 while dev kept improving regardless. Killed by explicit user request at epoch 72 (not a crash, not a detected decline) to free the GPU for the r16a32/alpha32/lr4e4 long-run queue. Test-holdout metrics were NOT produced automatically (kill skips the script's normal end-of-run reload+eval step), so they were reconstructed post-hoc: split_seed was logged at start (1556411495), used to regenerate the identical 500-instance holdout from train.jsonl, then ran a standalone generation+eval pass against the saved epoch-70 best/ adapter (script: reeval_killed_standing.py, not committed -- one-off, lives in scratchpad). Result: test mean(st1,st2)=0.794 (st1=0.766/st2=0.822), clearly above dev's 0.733 and the best test score in this file by a wide margin (previous best test_mean was 0.721, row 37's lr4e4 5-epoch run) -- strong generalization, no dev-overfitting red flag. Biggest confirmed result of the epoch-count question: more epochs helps well past 12, and the earlier 5/8/12-epoch sweep conclusions (epochs=8 test=0.793 mean_macro_f1, note different metric definition pre-st12-only) undersold the ceiling. Open question: whether epoch 72-100 would have kept climbing -- never observed, run killed before reaching it."
fbdbe82,0.643,0.594,0.692,n/a,n/a,0.665,0.726,0.604,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st12-100epoch-r16a32 (KILLED at epoch 12 by user request -- 100-epoch queue cancelled entirely, autoresearch now capped at --epochs 10, see feedback_epoch_cap_10 memory): r=16/alpha=32 ablation of the standing recipe (r=8/alpha=16), checkpointing ON (not nogradckpt -- r=16 needs the VRAM headroom), otherwise identical (--context full, --st12-only, --pos-weight, --eval-every 10, split_seed=125361566). Killed before its epoch-20 eval; epoch-10 best/ checkpoint (dev mean(st1,st2)=0.665, st1=0.726/st2=0.604) already matched the new 10-epoch policy, so no rerun needed -- test-holdout metrics reconstructed post-hoc the same way as the standing-recipe row (reeval_killed_standing.py, split_seed edited to match this run, output pointed at runs/lora-qwen-st12-100epoch-r16a32/best). Result: test mean(st1,st2)=0.643 (st1=0.594/st2=0.692) vs dev's 0.665 -- roughly consistent, no dev-overfitting red flag. st1 test score is dragged down by an anomalous 'other' entry appearing in the st1 per-label breakdown (st1 taxonomy has only 4 labels: digital_content_or_services/none/physical_goods/physical_services -- 'other' is an st2 label, so this looks like a parse/eval artifact on this particular split rather than a real st1 confusion; not investigated further). Directly comparable to the standing recipe's own epoch-10 dev/test point (row above: dev=0.695, test reconstructed only at ep70 not ep10) -- r16a32's ep10 dev (0.665) is somewhat below standing's ep10 dev (0.695), a first (thin, single-run) signal that doubling LoRA capacity doesn't obviously help at this data scale, but one data point isn't enough to conclude anything -- would need the r8a32 alpha-only ablation (queued next) to separate the r vs alpha effect."
7fc12f7,0.651,0.651,n/a,n/a,n/a,0.692,0.692,n/a,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st1-5epoch (baseline, no pos-weight/no oversample): first --st1-only autoresearch run (commit ce93e64), standing recipe otherwise (r=8/alpha=16/lr=2e-4, --context full, --no-gradient-checkpointing, --epochs 5 --eval-every 5 per feedback_epoch_cap_5, split_seed=1096163574). test st1_macro_f1=0.651 (per-label: digital_content_or_services=0.955, physical_goods=0.955, physical_services=0.746, none=0.600 [3 gold], other=0.000 [1 gold, essentially unlearnable at 2 train instances total]); dev st1_macro_f1=0.692 (per-label: digital=0.923, physical_goods=0.928, physical_services=0.744, none=0.174 [14 gold]). Train st1 distribution: physical_goods 47.8%/digital 45.4%/physical_services 5.2%/none 1.5%/other 0.1% -- heavy imbalance, 'none' and 'other' the clear weak points (F1 well below the two majority classes on both dev/test). log_prediction_diagnostics (commit 7fc12f7) confirmed working end-to-end: gold/pred count distribution + gold->pred cross-product both logged correctly, restricted to st1 only (no st2/st3 noise). This is the BASELINE for the upcoming pos-weight/oversample-rare-st1 comparison (new code just added, not yet run at scale) -- user asked to extend st3's imbalance-handling levers (pos-weight, oversample rare labels) to st1, motivated by exactly this none/other weakness."
